Layer	File	Thickness	Pause	Material	Speed	Intensity
223	CompositeTensile7223.png	5	0.500	1	5.00	50
224	CompositeTensile7224.png	5	0.500	1	5.00	50
225	CompositeTensile7225.png	5	0.500	1	5.00	50
226	CompositeTensile7226.png	5	0.500	1	5.00	50
227	CompositeTensile7227.png	5	0.500	1	5.00	50
228	CompositeTensile7228.png	5	0.500	1	5.00	50
229	CompositeTensile7229.png	5	0.500	1	5.00	50
230	CompositeTensile7230.png	5	0.500	1	5.00	50
231	CompositeTensile7231.png	5	0.500	1	5.00	50
232	CompositeTensile7232.png	5	0.500	1	5.00	50
233	CompositeTensile7233.png	5	0.500	1	5.00	50
234	CompositeTensile7234.png	5	0.500	1	5.00	50
235	CompositeTensile7235.png	5	0.500	1	5.00	50
236	CompositeTensile7236.png	5	0.500	1	5.00	50
237	CompositeTensile7237.png	5	0.500	1	5.00	50
238	CompositeTensile7238.png	5	0.500	1	5.00	50
239	CompositeTensile7239.png	5	0.500	1	5.00	50
240	CompositeTensile7240.png	5	0.500	1	5.00	50
241	CompositeTensile7241.png	5	0.500	1	5.00	50
242	CompositeTensile7242.png	5	0.500	1	5.00	50
243	CompositeTensile7243.png	5	0.500	1	5.00	50
244	CompositeTensile7244.png	5	0.500	1	5.00	50
245	CompositeTensile7245.png	5	0.500	1	5.00	50
246	CompositeTensile7246.png	5	0.500	1	5.00	50
247	CompositeTensile7247.png	5	0.500	1	5.00	50
248	CompositeTensile7248.png	5	0.500	1	5.00	50
249	CompositeTensile7249.png	5	0.500	1	5.00	50
250	CompositeTensile7250.png	5	0.500	1	5.00	50
251	CompositeTensile7251.png	5	0.500	1	5.00	50
252	CompositeTensile7252.png	5	0.500	1	5.00	50
253	CompositeTensile7253.png	5	0.500	1	5.00	50
254	CompositeTensile7254.png	5	0.500	1	5.00	50
255	CompositeTensile7255.png	5	0.500	1	5.00	50
256	CompositeTensile7256.png	5	0.500	1	5.00	50
257	CompositeTensile7257.png	5	0.500	1	5.00	50
258	CompositeTensile7258.png	5	0.500	1	5.00	50
259	CompositeTensile7259.png	5	0.500	1	5.00	50
260	CompositeTensile7260.png	5	0.500	1	5.00	50
261	CompositeTensile7261.png	5	0.500	1	5.00	50
262	CompositeTensile7262.png	5	0.500	1	5.00	50
263	CompositeTensile7263.png	5	0.500	1	5.00	50
264	CompositeTensile7264.png	5	0.500	1	5.00	50
265	CompositeTensile7265.png	5	0.500	1	5.00	50
266	CompositeTensile7266.png	5	0.500	1	5.00	50
267	CompositeTensile7267.png	5	0.500	1	5.00	50
268	CompositeTensile7268.png	5	0.500	1	5.00	50
269	CompositeTensile7269.png	5	0.500	1	5.00	50
270	CompositeTensile7270.png	5	0.500	1	5.00	50
271	CompositeTensile7271.png	5	0.500	1	5.00	50
272	CompositeTensile7272.png	5	0.500	1	5.00	50
273	CompositeTensile7273.png	5	0.500	1	5.00	50
274	CompositeTensile7274.png	5	0.500	1	5.00	50
275	CompositeTensile7275.png	5	0.500	1	5.00	50
276	CompositeTensile7276.png	5	0.500	1	5.00	50
277	CompositeTensile7277.png	5	0.500	1	5.00	50
278	CompositeTensile7278.png	5	0.500	1	5.00	50
